,year,genre,rating,users_rating,votes,languages,runtime
186,3.0,3.0,2.0,6.6,8.0,1.0,90.0
187,3.0,3.0,2.0,7.3,6.0,1.0,92.0
188,3.0,3.0,1.0,2.4,18.0,1.0,82.0
189,3.0,5.0,1.0,7.3,11.0,1.0,88.0
190,3.0,4.0,1.0,2.8,8.0,1.0,115.0
191,3.0,8.0,1.0,7.2,1327.0,1.0,123.0
192,4.0,3.0,1.0,3.5,17.0,1.0,78.0
193,4.0,6.0,1.0,6.3,15.0,1.0,92.0
194,4.0,8.0,8.0,5.3,17778.0,2.0,106.0
195,4.0,3.0,1.0,5.4,623.0,1.0,74.0
196,4.0,5.0,1.0,7.0,357.0,1.0,99.0
197,4.0,4.0,1.0,7.3,321.0,1.0,108.0
198,4.0,3.0,1.0,3.7,221.0,1.0,86.0
199,4.0,6.0,2.0,6.6,74.0,1.0,117.0
200,4.0,1.0,3.0,7.7,336.0,1.0,122.0
201,4.0,5.0,2.0,7.6,9.0,1.0,100.0
202,4.0,5.0,5.0,7.0,2350.0,1.0,93.0
203,4.0,5.0,6.0,5.1,1059.0,1.0,107.0
204,4.0,10.0,2.0,7.1,145.0,1.0,139.0
205,4.0,5.0,1.0,6.8,151.0,1.0,102.0
206,4.0,4.0,1.0,1.4,880.0,1.0,91.0
207,4.0,3.0,2.0,4.0,65.0,1.0,89.0
208,4.0,5.0,7.0,6.6,6877.0,1.0,107.0
209,4.0,8.0,1.0,3.2,37.0,1.0,92.0
210,4.0,6.0,1.0,6.7,111.0,1.0,98.0
211,4.0,5.0,1.0,7.7,6.0,1.0,88.0
212,4.0,5.0,1.0,7.0,370.0,1.0,90.0
213,4.0,5.0,1.0,7.1,359.0,1.0,121.0
214,4.0,6.0,1.0,7.3,285.0,1.0,110.0
215,4.0,6.0,1.0,6.7,254.0,1.0,115.0
216,4.0,4.0,1.0,7.3,61.0,1.0,103.0
217,4.0,8.0,1.0,4.7,504.0,1.0,105.0
218,4.0,5.0,1.0,5.6,533.0,1.0,125.0
219,5.0,5.0,3.0,8.0,6.0,1.0,101.0
220,5.0,4.0,1.0,4.4,153.0,1.0,100.0
221,5.0,6.0,1.0,8.0,1472.0,1.0,104.0
222,5.0,6.0,1.0,5.9,564.0,1.0,101.0
223,5.0,8.0,7.0,6.3,12507.0,1.0,118.0
224,5.0,5.0,9.0,7.0,22.0,1.0,100.0
225,5.0,4.0,9.0,7.3,217.0,1.0,97.0
226,5.0,8.0,3.0,5.3,23.0,1.0,96.0
227,5.0,8.0,9.0,6.6,53.0,1.0,100.0
228,5.0,1.0,9.0,8.5,29.0,1.0,89.0
229,5.0,6.0,3.0,7.1,19.0,1.0,108.0
230,5.0,5.0,8.0,7.2,262.0,1.0,97.0
231,5.0,2.0,9.0,5.8,8.0,1.0,90.0
232,5.0,5.0,1.0,7.7,59.0,1.0,83.0
233,5.0,5.0,1.0,7.4,1650.0,1.0,123.0
234,5.0,11.0,1.0,7.8,17.0,1.0,103.0
235,5.0,5.0,1.0,8.0,29.0,1.0,87.0
236,6.0,5.0,9.0,8.6,19.0,1.0,76.0
237,6.0,4.0,2.0,6.0,213.0,1.0,109.0
238,6.0,6.0,3.0,5.3,26.0,1.0,91.0
239,6.0,5.0,2.0,7.8,12.0,1.0,83.0
240,6.0,8.0,3.0,6.1,14.0,1.0,90.0
241,6.0,4.0,8.0,6.1,11.0,1.0,85.0
242,6.0,6.0,1.0,6.8,628.0,1.0,127.0
243,6.0,6.0,3.0,6.8,26.0,1.0,109.0
244,6.0,3.0,9.0,6.0,90.0,1.0,95.0
245,7.0,8.0,2.0,7.0,839.0,1.0,106.0
246,7.0,3.0,1.0,6.1,7.0,1.0,90.0
247,7.0,8.0,7.0,4.2,143.0,2.0,91.0
248,7.0,8.0,7.0,6.4,4710.0,4.0,137.0
249,7.0,6.0,8.0,7.4,16.0,1.0,90.0
250,7.0,8.0,7.0,6.2,722.0,1.0,111.0
251,7.0,5.0,3.0,7.6,118.0,1.0,107.0
252,7.0,8.0,8.0,8.0,112091.0,1.0,150.0
253,8.0,5.0,8.0,5.7,20979.0,2.0,107.0
254,8.0,5.0,1.0,3.8,125.0,1.0,90.0
255,8.0,5.0,1.0,7.6,1023.0,6.0,164.0
256,8.0,3.0,8.0,6.0,35414.0,2.0,96.0
257,8.0,5.0,7.0,7.1,221.0,1.0,104.0
258,9.0,3.0,2.0,2.4,17.0,1.0,80.0
259,9.0,1.0,1.0,7.6,1783.0,1.0,120.0
260,9.0,3.0,2.0,4.2,20.0,1.0,84.0
261,10.0,6.0,5.0,2.8,35.0,1.0,77.0
262,10.0,10.0,9.0,7.2,61.0,1.0,100.0
263,10.0,5.0,3.0,6.4,104.0,1.0,100.0
264,10.0,6.0,9.0,2.4,20.0,1.0,79.0
265,10.0,5.0,2.0,7.3,27.0,1.0,96.0
266,10.0,8.0,8.0,6.1,105.0,2.0,103.0
267,10.0,6.0,2.0,2.8,17.0,1.0,79.0
268,10.0,6.0,2.0,3.9,53.0,1.0,80.0
269,10.0,8.0,8.0,7.6,187222.0,1.0,101.0
270,11.0,3.0,9.0,2.5,26.0,1.0,74.0
271,12.0,5.0,9.0,7.1,224.0,1.0,79.0
272,12.0,5.0,3.0,6.6,236.0,1.0,97.0
273,12.0,3.0,9.0,6.8,269.0,1.0,80.0
274,12.0,5.0,7.0,6.5,2846.0,1.0,95.0
275,12.0,8.0,8.0,6.7,9991.0,1.0,134.0
276,12.0,5.0,2.0,6.7,120.0,1.0,131.0
277,12.0,6.0,7.0,8.2,6.0,1.0,90.0
278,13.0,3.0,9.0,3.7,23.0,1.0,90.0
279,13.0,3.0,8.0,5.1,195.0,1.0,89.0
280,13.0,4.0,3.0,7.8,2045.0,1.0,124.0
281,13.0,3.0,3.0,3.4,58.0,1.0,105.0
282,13.0,6.0,3.0,6.7,90.0,1.0,95.0
283,13.0,5.0,2.0,7.1,981.0,1.0,130.0
284,14.0,3.0,3.0,4.7,23.0,1.0,90.0
285,14.0,5.0,9.0,7.5,70.0,1.0,105.0
286,14.0,3.0,2.0,2.2,29.0,1.0,90.0
287,14.0,3.0,3.0,3.6,14.0,1.0,98.0
288,15.0,10.0,2.0,6.5,119.0,1.0,104.0
289,15.0,3.0,9.0,6.5,139.0,1.0,98.0
290,16.0,3.0,9.0,6.9,71.0,1.0,112.0
291,26.0,8.0,8.0,5.1,88.0,2.0,90.0
292,27.0,10.0,9.0,6.6,10.0,1.0,68.0
293,28.0,8.0,8.0,5.4,397.0,2.0,98.0
294,29.0,8.0,8.0,5.2,470.0,2.0,97.0
295,33.0,8.0,7.0,4.4,89.0,1.0,93.0
296,35.0,5.0,1.0,7.6,25.0,1.0,98.0
297,38.0,8.0,7.0,4.4,91.0,1.0,100.0
298,39.0,8.0,8.0,5.0,210.0,1.0,74.0
299,39.0,3.0,8.0,5.6,378.0,1.0,96.0
300,40.0,8.0,8.0,5.3,24.0,1.0,78.0
301,41.0,4.0,7.0,2.9,298.0,1.0,90.0
