year,genre,rating,users_rating,votes,languages,runtime
3,5.0,1.0,7.3,"2,799",1,127
3,6.0,1.0,6.2,63,1,98
3,3.0,2.0,6.6,22,1,88
3,5.0,1.0,6.8,329,1,
3,6.0,1.0,6.4,72,1,88
3,3.0,1.0,4.8,19,1,84
3,6.0,1.0,5.2,49,1,79
3,5.0,1.0,1.2,"3,490",1,90
3,8.0,1.0,7.2,42,1,91
3,3.0,2.0,6.9,140,1,83
3,3.0,1.0,4.0,109,1,83
3,3.0,1.0,4.7,16,1,79
3,5.0,1.0,9.1,240,1,
3,5.0,2.0,7.0,367,1,97
3,5.0,3.0,7.9,558,1,110
3,5.0,5.0,6.5,22,1,
3,6.0,1.0,7.0,8,1,99
3,5.0,,7.4,11,1,92
3,5.0,3.0,7.3,35,1,91
3,5.0,2.0,7.5,337,1,105
3,4.0,3.0,7.8,201,1,112
3,6.0,4.0,4.8,493,1,105
3,5.0,1.0,7.5,11,3,94
3,5.0,2.0,6.8,36,1,
3,5.0,5.0,7.4,792,1,100
3,6.0,1.0,7.2,11,1,94
3,3.0,6.0,6.0,"3,015",1,110
3,5.0,1.0,8.0,53,1,96
3,5.0,2.0,7.4,21,1,82
3,8.0,5.0,6.0,"2,486",1,91
3,6.0,1.0,7.4,558,1,101
3,9.0,1.0,7.5,24,1,112
3,5.0,,6.9,21,1,
3,8.0,1.0,6.3,98,1,
3,5.0,3.0,7.0,34,1,
3,5.0,1.0,7.2,45,1,98
3,3.0,2.0,5.4,69,1,90
3,6.0,2.0,5.0,67,1,98
3,5.0,1.0,8.4,32,1,98
3,5.0,1.0,7.9,185,1,99
3,3.0,,5.7,18,1,
3,3.0,2.0,4.2,"1,397",1,113
3,3.0,1.0,5.4,50,1,
3,3.0,2.0,6.8,39,1,90
3,5.0,1.0,8.5,65,1,107
3,3.0,2.0,6.5,52,1,90
3,6.0,2.0,6.6,49,1,89
3,5.0,1.0,7.1,370,1,85
3,6.0,1.0,7.4,11,1,92
3,3.0,2.0,5.3,33,1,80
3,8.0,2.0,6.4,111,1,107
3,5.0,1.0,8.2,92,1,100
3,8.0,1.0,6.9,140,1,148
