year,genre,rating,users_rating,votes,languages,runtime
2.0,6.0,1.0,7.2,75.0,1.0,128.0
2.0,1.0,1.0,7.5,141.0,1.0,96.0
2.0,3.0,2.0,5.6,19.0,1.0,96.0
2.0,3.0,2.0,5.2,19.0,1.0,90.0
2.0,5.0,1.0,7.8,10.0,1.0,101.0
2.0,6.0,1.0,7.0,278.0,1.0,106.0
2.0,5.0,1.0,3.7,53.0,1.0,98.0
2.0,3.0,2.0,6.9,54.0,1.0,111.0
2.0,4.0,1.5,3.9,10.0,1.0,90.5
2.0,5.0,1.0,7.5,19.0,1.0,94.0
2.0,5.0,2.0,6.6,514.0,1.0,181.0
2.0,4.0,1.0,5.8,16.0,1.0,97.0
2.0,5.0,2.0,5.8,165.0,1.0,103.0
2.0,3.0,1.0,4.8,12.0,1.0,92.0
2.0,4.0,1.0,4.4,102.0,1.0,103.0
2.0,5.0,2.0,5.9,112.0,1.0,100.0
2.0,6.0,1.0,7.2,197.0,1.0,109.0
2.0,8.0,2.0,5.8,12.0,1.0,90.5
3.0,1.0,1.0,6.9,483.0,1.0,183.5
3.0,3.0,1.0,5.6,41.0,1.0,107.0
3.0,5.0,1.5,5.0,71.0,1.0,85.0
3.0,8.0,1.0,6.2,121.0,1.0,71.0
3.0,6.0,3.0,7.0,24.0,1.0,89.0
3.0,1.0,1.0,8.7,4235.0,1.0,102.0
3.0,3.0,5.0,5.2,28.0,1.0,75.0
3.0,4.0,2.0,5.2,61.0,1.0,82.0
3.0,6.0,1.0,8.0,52.0,1.0,91.0
3.0,5.0,2.0,7.5,84.0,1.0,86.5
3.0,5.0,2.0,7.3,539.0,1.0,106.0
3.0,3.0,2.0,3.7,45.0,1.0,104.0
3.0,3.0,1.0,5.3,17.0,1.0,99.0
3.0,5.0,1.0,7.5,59.0,1.0,88.0
3.0,3.0,2.0,5.3,156.0,1.0,77.0
3.0,5.0,3.0,7.8,14.0,1.0,101.0
3.0,5.0,2.0,7.3,234.0,1.0,85.0
3.0,6.0,1.0,8.8,23.0,1.0,87.0
3.0,3.0,2.0,6.6,7.0,1.0,93.0
3.0,4.0,1.0,7.1,89.0,1.0,107.0
3.0,6.0,2.0,2.9,213.0,1.0,102.0
3.0,3.0,1.0,4.9,34.0,1.0,87.0
3.0,6.0,1.0,5.7,52.0,1.0,91.0
3.0,8.0,6.0,5.8,1004.0,1.0,102.0
3.0,6.0,1.0,8.3,9.0,1.0,97.0
3.0,6.0,1.0,6.1,54.0,1.0,83.0
3.0,5.0,7.0,8.1,59.0,1.0,101.0
3.0,3.0,2.0,5.7,354.0,1.0,92.0
3.0,5.0,1.0,8.0,195.0,1.0,101.0
3.0,5.0,1.0,7.3,2799.0,1.0,127.0
3.0,6.0,1.0,6.2,63.0,1.0,98.0
3.0,3.0,2.0,6.6,22.0,1.0,88.0
3.0,5.0,1.0,6.8,329.0,1.0,101.5
3.0,6.0,1.0,6.4,72.0,1.0,88.0
3.0,3.0,1.0,4.8,19.0,1.0,84.0
3.0,6.0,1.0,5.2,49.0,1.0,79.0
3.0,5.0,1.0,1.2,3490.0,1.0,90.0
3.0,8.0,1.0,7.2,42.0,1.0,91.0
3.0,3.0,2.0,6.9,140.0,1.0,83.0
3.0,3.0,1.0,4.0,109.0,1.0,83.0
3.0,3.0,1.0,4.7,16.0,1.0,79.0
3.0,5.0,1.0,9.1,240.0,1.0,93.5
3.0,5.0,2.0,7.0,367.0,1.0,97.0
3.0,5.0,3.0,7.9,558.0,1.0,110.0
3.0,5.0,5.0,6.5,22.0,1.0,79.5
3.0,6.0,1.0,7.0,8.0,1.0,99.0
3.0,5.0,1.0,7.4,11.0,1.0,92.0
3.0,5.0,3.0,7.3,35.0,1.0,91.0
3.0,5.0,2.0,7.5,337.0,1.0,105.0
3.0,4.0,3.0,7.8,201.0,1.0,112.0
3.0,6.0,4.0,4.8,493.0,1.0,105.0
3.0,5.0,1.0,7.5,11.0,3.0,94.0
3.0,5.0,2.0,6.8,36.0,1.0,96.0
3.0,5.0,5.0,7.4,792.0,1.0,100.0
3.0,6.0,1.0,7.2,11.0,1.0,94.0
3.0,3.0,6.0,6.0,3015.0,1.0,110.0
3.0,5.0,1.0,8.0,53.0,1.0,96.0
3.0,5.0,2.0,7.4,21.0,1.0,82.0
3.0,8.0,5.0,6.0,2486.0,1.0,91.0
3.0,6.0,1.0,7.4,558.0,1.0,101.0
3.0,9.0,1.0,7.5,24.0,1.0,112.0
3.0,5.0,3.5,6.9,21.0,1.0,78.5
3.0,8.0,1.0,6.3,98.0,1.0,110.5
3.0,5.0,3.0,7.0,34.0,1.0,92.0
3.0,5.0,1.0,7.2,45.0,1.0,98.0
3.0,3.0,2.0,5.4,69.0,1.0,90.0
3.0,6.0,2.0,5.0,67.0,1.0,98.0
3.0,5.0,1.0,8.4,32.0,1.0,98.0
3.0,5.0,1.0,7.9,185.0,1.0,99.0
3.0,3.0,1.0,5.7,18.0,1.0,93.5
3.0,3.0,2.0,4.2,1397.0,1.0,113.0
3.0,3.0,1.0,5.4,50.0,1.0,84.5
3.0,3.0,2.0,6.8,39.0,1.0,90.0
3.0,5.0,1.0,8.5,65.0,1.0,107.0
3.0,3.0,2.0,6.5,52.0,1.0,90.0
3.0,6.0,2.0,6.6,49.0,1.0,89.0
3.0,5.0,1.0,7.1,370.0,1.0,85.0
3.0,6.0,1.0,7.4,11.0,1.0,92.0
3.0,3.0,2.0,5.3,33.0,1.0,80.0
3.0,8.0,2.0,6.4,111.0,1.0,107.0
3.0,5.0,1.0,8.2,92.0,1.0,100.0
3.0,8.0,1.0,6.9,140.0,1.0,148.0
3.0,6.0,2.0,5.6,736.0,1.0,125.0
3.0,6.0,1.0,4.0,359.0,1.0,93.0
